CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring1,fall1,spring2,fall2
BME550,Mathematical Models of Physiologic & Biophysical Systems,Graduate,3.0,NONE,NONE,NONE,"An introduction to mathematical modeling of cell and tissue function. Topics include the derivation and numerical solution of models of cell homeostasis, membrane transport and excitability, and cell signaling and metabolism. Grading is based on problems, student presentation, and completion of a modeling project.
Permission is required.",1,1,1,1
BME558,Physical & Quantitative Biology,Graduate,3.0,NONE,NONE,NONE,"¿¿This is a course on the principles of physical chemistry. We describe the nature of the forces and energies and entropies that drive molecular systems toward their states of equilibrium. We consider a broad range of applications throughout chemistry, biology, materials engineering and nanoscience. This course aims to give students an understanding of how the actions and behaviors of materials arise from their atomic and molecular structures. Co-listed with PHY 558 and CHE 558.",1,1,1,1
BME571,Microfluids in Biological Systems,Graduate,3.0,NONE,NONE,NONE,"This course will outline theory and applications of special fluid handling conditions associated with living systems. Fall,
This course will be co-scheduled with BME 371",1,1,1,1
BME572,Biomolecular Analysis,Graduate,3.0,NONE,NONE,NONE,"This interdisciplinary course is intended for graduate students and advanced undergraduates in departments such as Biomedical Engineering, Chemistry, Physics, Biology and Chemical Engineering. This course will give an introduction to single molecule experiments using fluorescence, optical traps, AFM cantilevers, microneedles, magnetic microbeads as well as micro and nanofluidic devices.
Prerequisites: BME 501 and 502, or instructor approval.
Fall,",1,1,1,1
BME573,iPhone Programming for Medical Applications,Graduate,3.0,NONE,NONE,NONE,iPhone Programming for Medical Applications.,1,1,1,1
BME574,Machine Learning and Artificial Intelligence for Biomedical Engineering,Graduate,3.0,NONE,NONE,NONE,"This course introduces students to machine learning and artificial intelligence methods applied to Biomedical Engineering problems. We will cover singular-value decomposition (SVD), and principal components analysis (PCA), Fourier and Wavelet Transforms, Regression and Model Selection, Clustering and Classification, Deep Learning using Neural Networks, and Scientific Machine Learning. Course emphasis will be placed on the concepts and implementation of machine learning and AI methods as implemented in the Julia programming language. The final project will teach the students how to apply the various methods learned and practiced in the class to tackle real-world complex BME challenges.",1,1,1,1
BME581,Biomedical Nanofabrication,Graduate,3.0,NONE,NONE,NONE,"This one-semester, three section course, serves as an introduction to the applications of nanofabrication to various fields of importance to biomedical engineering. This will be done by a combination of examining how nature has accomplished nano-scale feats, how we can measure this, and whether we can duplicate nature¿s functions in vitro. A significant portion of the course includes technical communications, in the form of a written report and oral lecture component to class.",1,1,1,1
BME590,Biomedical Engineering Seminar,Graduate,0.00 - 1.00,NONE,NONE,NONE,"A weekly meeting devoted to current graduate student work in the program in Biomedical Engineering. Enrolled students present seminar each week throughout the semester, participate in seminars and responsible conduct of research training.",1,1,1,1
BME595,BME MS Project,Graduate,1.00 - 6.00,NONE,NONE,NONE,"This course is taken M.S. students who select MS Project track.  Conducted jointly by graduate students and one or more members of the faculty.  A final project report must be submitted to the advisor as well as to the Graduate Program Director.  Without the submitted report, credits from this course cannot be applied toward the MS degree.",1,1,1,1
BME599,Biomedical Engineering Research,Graduate,1.00 - 9.00,NONE,NONE,NONE,"Research to be supported by a faculty member of the Department of Biomedical Engineering. Students must have permission of instructor to enroll in appropriate section. Faculty to be identified by the student.
Fall and Spring,",1,1,1,1
BME601,Cardiovascular Fluid Mechanics,Graduate,3.0,NONE,NONE,NONE,"The course will cover the application of fluid mechanics principles to the analysis of blood flow in the cardiovascular system under normal and pathological conditions.  It will follow an historical time line by beginning with the most basic models of arterial blood flow, and proceed to the most advanced theories related to physiology and pathology flow phenomena, including an examination of the most up to date research in the area and the development of devices and implants.
Spring, alternate years,",1,1,1,1
BME602,Topics in Biomedical Applications of Neural Networks,Graduate,3.0,NONE,NONE,NONE,"This is a project based course which includes weekly seminars discussing advanced topics in fuzzy logic and neural networks and their applications, in biomedical devices.  Applications include drug delivery, diagnostics, management information handling.  Students utilize simulation software to develop algorithms to deal successfully with training data sets of their own choosing.
Fall, alternate years,",1,1,1,1
BME603,Advanced Quantitative Human Physiology,Graduate,3.0,NONE,NONE,NONE,"This course is intended to provide a deep and rigorous understanding of human physiology using a quantitative approach. This course will develop the physical, chemical and mathematical foundation of physiology, which is then applied to membranes, transport, metabolisms, excitable cells and various organ systems. A major component of this course will be an individual project requiring mastery of concepts developed in class.",1,1,1,1
BME604,Finite Element Modeling in Biology and Medicine,Graduate,3.0,NONE,NONE,NONE,"Both finite difference and FEM are applied to solve the equations of incompressible and compressible fluid flow in porous media with emphasis on flows in skeletal tissues, i.e., bone and cartilage.  Steady-state, transient flow, permeability and surface boundary conditions are discussed.  Practical and recent studies in the field are also discussed.  Programming using FORTRAN or C languages will be required.  The student is also introduced to commercially available software packages.
Spring, alternate years,
This course will be co-scheduled with BME420.",1,1,1,1
BME605,Biomechanics of Tactile Sensory Systems,Graduate,3.0,NONE,NONE,NONE,"Detailed study of the biomechanics of tactile neurophysiology for engineers entering the field of haptics and robotics manipulations.  Anatomy and electrophysiology of transducer cells and neurons starting at the fingertips and extending to the somatosensory cortex.  Characteristics of the external stimulus and its peripheral transformation.  Relations of these topics to perceptual and/or behavioral responses.
Spring, alternate years,",1,1,1,1
BME608,Contemporary Biotechnology,Graduate,3.0,NONE,NONE,NONE,"General discussion on the nature of biotechnology and its historical development, applications, impact, consequences, and some of the social and ethical considerations.
Co-scheduled with BME 402
Offered Fall, 3 Credits, ABCF Grading",1,1,1,1
BME610,Magnetic Resonance,Graduate,3.0,NONE,NONE,NONE,"This course provides a comprehensive study of magnetic resonance and its applications in medical imaging. An introduction of NMR is followed with development of the hardware and processing aspects required for MR image formation. An overview of basic and advanced MR imaging techniques is provided. Each student will select a topic in MR imaging for presentation at the conclusion of the course. 
Fall,",1,1,1,1
BME611,Positron Emission Tomography,Graduate,3.0,NONE,NONE,NONE,"Positron emission tomography (PET) is a unique and powerful functional imaging method used in the clinic and in medical research.  It is a multidisciplinary endeavor involving the fields of chemistry, physics, mathematics and medicine.  This course addresses the disparate areas of science underlying PET imaging, including radioisotope production, radiotracer synthesis, the physics of the imaging process, quantitative data processing, image reconstruction approaches, data analysis, and tracer kinetic modeling to extract quantitative physiological parameters.  Radioactive validation and applications of PET will also be covered including the area of drug addiction.  There is a hands-on component in which students will visit an active PET research center and acquire and manipulate PET data.",1,1,1,1
BME612,Biomedical Engineering Aspects for the Use of Radiation in Medicine,Graduate,3.0,NONE,NONE,NONE,"This course provides a comprehensive study of the use of radiation in medicine. Physical aspects of the interaction of radiation with matter and for the radiation production are initially considered. The underlying principles of current radiation based medical imaging is considered next. Topics include radiography, fluoroscopy, radionuclide imaging and computed tomography. The use of radiation for the treatment of malignancy is considered with the focus on required technology. Finally advanced applications of radiation are considered with focus on imaging and treatment. Each student will select a topic examining the engineering or technical application of radiation in medicine for presentation at the conclusion of the course.
Spring,",1,1,1,1
BME615,Clinical Nuclear Imaging,Graduate,4.0,NONE,NONE,NONE,"This course is designed to prepare the Medical Physics graduate student in the area of clinical Medical Imaging.  In this clinical rotation, medical physics methods for: planar film, DR, CR, mamography, fluoroscopy, CT, ultrasound and MRI performance evaluations will be introduced.  In addition, basic medical ethics, radiographic anatomy and radiation safety will be covered.  A total of 200 clinical hours will be completed in this program
Prerequisites: BME 517; BME 518; BME 519; BME 530 or BME 540.
Fall, every year,",1,1,1,1
BME616,Clinical Nuclear Medicine Imaging,Graduate,4.0,NONE,NONE,NONE,"This course is designed to prepare the Medical Physics graduate student in the area of clinical Nuclear Medicine Imaging.  In this clinical rotation, the students will be exposed to radionuclide processes, radiopharmaceuticlas including radioactive gases and aerosols-prepartio, characteristics and radiation dosimetry, in vitro and in vivo radiation detection systems, imaging systems and their performance evaluations.  In addition, basic medical ethics, clinical interpretations and radiation safety will be covered.  A total of 150 clinical hours will be completed in this program.
Fall, every year,",1,1,1,1
BME617,Clinical Radiation Oncology Physics,Graduate,4.0,NONE,NONE,NONE,"This course is designed to prepare the Medical Physics graduate student in the area of clinical radiation oncology physics.  In this clinical rotation, the student will learn by observation and participation some of a selection of the following medical physics procedures:  LINAC Beam Dosimetry (ion chamber measurement techniques, film dosimetry (radiographic and radiochromic), diode dosimetry, TLD dosimetry, water phantom scanning), implementation of photon and electon beam calibration protocols (AAPM TG51), LINAC beam data measurement and tabulation, commissioning a TPS system, LINAC, acceptance testing, LINAC monthly QA, HDR QA and planning, and IMRT inverse planning and IMRT clinical QA.  A total of 120 clinical hours will be completed in this program.  Prerequisite:  BME 517 and BME 540 with a B+ or better.
Spring, every year,",1,1,1,1
BME618,Anatomy for Medical Physics,Graduate,4.0,NONE,NONE,NONE,"This course provides basic radiographic anatomy from both the projection and cross sectional point of view. This course also introduces basic disease processes including the nature and causes of disease and injury. The appearance of these diseases and injuries are examined on medical images acquired through all current methods: radiography, computed tomography, angiography, magnetic resonance, scintigraphy, positron emission tomography and  sonography. Details of cancer initiation, growth, staging and treatment are considered.
Prerequisite: In Medical Physic Track",1,1,1,1
BME620,Space Radiation Biology,Graduate,4.0,NONE,NONE,NONE,"An extensive series of lectures, training sessions and laboratory activities sponsored by the NASA's Radiation Health Program in collaboration with BNL. The material is oriented to cover basic and state of the art concepts in space radiation environment, physics and radiobiology. Content includes basic concepts in physics, dosimetry, radiobiology, space radiation problems and accelerator operations. Concurrent sessions are provided to complete specific BNL training and plan and prepare experiments for low- and high-LET radiation exposures. Students are trained in NSRL operations and are able to run control experiments using gamma rays in preparation for NSRL runs, and subsequently experiments at the NSRL using heavy ions. Data are obtained from different endpoints are discussed and analyzed with the instructors. Homework are used to test the student's level of comprehension of the lectures and laboratory activities. The write up of a full BNL beam time request proposal is required of each student.",1,1,1,1
BME670,Special Topics in Biomedical Engineering,Graduate,0.00 - 3.00,NONE,NONE,NONE,"Varying topics covering current active research projects and professional development skills for Biomedical Engineers. This course is designed to give the necessary flexibility to students and faculty to introduce and refine new material into the curriculum before it has attracted sufficient interest to be made part of the regular course material. Topics include biomedical engineering, regenerative medicine, bioimaging, biomechanics, career planning, negotiation, communications, long-range planning, among others.",1,1,1,1
BME690,Biomedical Engineering Research,Graduate,1.00 - 9.00,NONE,NONE,NONE,"Biomedical Engineering research for doctoral students who have already received their M.S. degree, but have not yet advanced to candidacy.
Fall and Spring,",1,1,1,1
BME698,Practicum in Teaching,Graduate,1.0,NONE,NONE,NONE,"Undergraduate teaching to be supervised by a faculty member of the Program in Biomedical Engineering. Course to be identified by the student and graduate studies director.
Fall and Spring,",1,1,1,1
BME699,Dissertation Research on Campus,Graduate,1.00 - 9.00,NONE,NONE,NONE,"Prerequisite: Students must be advanced to candidacy (G5); permission of instructor and enroll in appropriate section. Major portion of research must take place on SBU campus, at Cold Spring Harbor, or at the Brookhaven National Lab.
Fall, Spring, and Summer,",1,1,1,1
BME700,Dissertation Research off Campus - Domestic,Graduate,1.00 - 9.00,NONE,NONE,NONE,"Prerequisite: Must be advanced to candidacy (G5). Major portion of research will take place off-campus, but in the United States and/or U.S. provinces. Please note, Brookhaven National Labs and the Cold Spring Harbor Lab are considered on-campus.
All international students must enroll in one of the graduate student insurance plans and should be advised by an International Advisor.
Fall, Spring, Summer",1,1,1,1
BME701,Dissertation Research off Campus - International,Graduate,1.00 - 9.00,NONE,NONE,NONE,"Prerequisite: Must be advanced to candidacy (G5). Major portion of research will take place outside of the United States and/or U.S. provinces.
Domestic students have the option of the health plan and may also enroll in MEDEX.
International students who are in their home country are not covered by mandatory health plan and must contact the Insurance Office for the insurance charge to be removed.
International students who are not in their home country are charged for the mandatory health insurance. If they are to be covered by another insurance plan they must file a waiver be second week of classes. The charge will only be removed if other plan is deemed comparable.
All international students must received clearance from an International Advisor.
Fall, Spring, Summer",1,1,1,1
BME800,BME RESEARCH,Graduate,0.0,NONE,NONE,NONE,Full-time summer research.,1,1,1,1
