CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Description,spring1,fall1,spring2,fall2
PSY565,Functional Neuroanatomy,Graduate,3.0,NONE,NONE,"Just as a function can be derived from the structure of everyday objects, so too can function be derived from the study of brain architecture and neural connectivity.  Accordingly, this course takes a structural approach to the understanding of the nervous system and behavior.  To complement a disciplinary focus on cognition, affect and emotions, this course will emphasize the connectivity of higher order brain regions.  Students will first be introduced to the global organization of the nervous system and a general framework for information processing.  Then sensory and motor pathways will be discussed imn more detail.  The course will end with topics such as the neurocircuitry of addiction, emotion, and memory.
Offered Spring, 3 Credits, ABCF Grading",1,1,1,1
PSY581,Integrative Neuroscience Seminar I,Graduate,0.00 - 3.00,NONE,NONE,"This course includes discussion of current research in Integrative Neuroscience by faculty, students, and visiting scientists. This sequence is required of all students in the Integrative Neuroscience Program.

Fall, 0-3 credits, S/U grading

May be repeated for credit.",1,1,1,1
PSY582,Integrative Neuroscience Seminar II,Graduate,0.00 - 3.00,NONE,NONE,"This course includes discussions of current research in Integrative Neuroscience by faculty, students, and visiting scientists. This sequence is required of all students in the Integrative Neuroscience program.

Spring, 0-3 credits, S/U grading

May be repeated for credit.",1,1,1,1
PSY583,Cognitive Science Seminar I,Graduate,0.00 - 3.00,NONE,NONE,"This course includes discussions of current research in Cognitive Science by faculty, students, and invited scientists. This sequence is required of all students in the Cognitive Science program.

Fall, 0-3 credits, S/U grading

May be repeated for credit.",1,1,1,1
PSY584,Cognitive Science Seminar II,Graduate,0.00 - 3.00,NONE,NONE,"This course includes discussions of current research in Cognitive Science by faculty, students, and invited scientists. This sequence is required of all students in the Cognitive Science program.

Spring, 0-3 credits, S/U grading

May be repeated for credit.",1,1,1,1
PSY585,Social and Health Psychology Seminar I,Graduate,0.00 - 3.00,NONE,NONE,"This course includes discussions of current research in Social and Health Psychology by faculty, students, and visiting scientists. This sequence is required of all students in the Social and Health Psychology Program.

Fall, 0-3 credits, S/U grading

May be repeated for credit.",1,1,1,1
PSY586,Social and Health Psychology Seminar II,Graduate,0.00 - 3.00,NONE,NONE,"This course includes discussions of current research in Social and Health Psychology by faculty, students, and visiting scientists. This sequence is required of all students in the Social and Health Psychology Program.

Spring, 0-3 credits, S/U grading

May be repeated for credit.",1,1,1,1
PSY587,Clinical Psychology Seminar I,Graduate,0.00 - 3.00,NONE,NONE,"This course includes discussions of current research in Clinical Psychology by faculty, students, and visiting scientists.

Fall, 0-3 credits, S/U grading

May be repeated for credit.",1,1,1,1
PSY588,Clinical Psychology Seminar II,Graduate,0.00 - 3.00,NONE,NONE,"This course includes discussions of current research in Clinical Psychology by faculty, students, and visiting scientists.

Spring, 0-3 credits, S/U grading

May be repeated for credit.",1,1,1,1
PSY594,Psychology of Gender,Graduate,3.0,NONE,NONE,"This class examines how gender affects and is affected by behavior, thoughts, and emotions.  We investigate gender differences and similarities across the lifespan and consider various perspectives on the study of gender, including psychobiology, social cognitive theory, social role theory, and cross-cultural research.
Fall or Spring, alternate years,",1,1,1,1
PSY595,Human Development,Graduate,3.0,NONE,NONE,"An examination of the biological and psychological development of children and adolescents and its relationship to teaching and curriculum development for diverse learners.  The course will focus on special education programs, childhood and adolescent psychiatric disorders, and societal issues.
Offered: Fall, Spring, Summer
3 credits, may be repeated for credit, ABCF grading,",1,1,1,1
PSY596,Psychopathology: Externalizing & Psychotic Disorders,Graduate,2.0,NONE,NONE,"Theory and research of abnormal behavior in children, adolescents, and adults. A lifespan development approach is taken, with a focus on the phenomenology, epidemiology, course, etiology, pathogenisis, psychopathology, and pathophysiology of externalizing disorders (e.g., conduct, disorder, personality disorders, substance use disorders) and psychotic disorders.
Prerequisite: Must be Psychology Graduate Student
Spring, 2 credits, ABCF grading",1,1,1,1
PSY602,"Assessment: Personality Testing, Intellectual/Cognitive Testing; and Child Parent Assessment",Graduate,2.0,NONE,NONE,"Self-report and projective measures of personality and psychopathology; targeted assessments and measures; intellectual and cognitive assessment; assessment of children and parents; ethics and cultural diversity.
Spring, 2 credits, ABCF grading
Prerequisite: must be clinical doctoral student",1,1,1,1
PSY603,Ethics and Professional Issues,Graduate,2.0,NONE,NONE,"Ethics and professional issues. Required of all first-year clinical students.
Prerequisite: Clinical psychology doctoral student
Spring, 2 credits, S/U grading",1,1,1,1
PSY604,Intervention Practicum,Graduate,2.0,NONE,NONE,"Exposure of the application of clinical intervention procedures.
Prerequisite: PSY 537 or PSY 538, Must be Psychology Graduate Student
Fall, 2 credits, S/U grading",1,1,1,1
PSY605,Advanced Clinical Practicum,Graduate,2.0,NONE,NONE,"Exposure to the application of advanced intervention procedures.
Prerequisite: PSY 604 and Clinical psychology doctoral student
Fall and Spring, 2 credits, S/U grading",1,1,1,1
PSY606,Supervised Practice,Graduate,3.0,NONE,NONE,"Clinical Psychology faculty meet with students as a group with follow-up individual recitation sessions to cover topics such as assessment and treatment conceptualization of specific cases that students are seeing in Psychological Center. In addition, methods of providing documentation of change in individual cases are discussed as well as means of obtaining corroborating evidence to support self-reported information. Students present case material to the group and receive peer and faculty feedback about case conceptualization and treatment.
Prerequisite: Clinical psychology doctoral student
Fall,Spring, Summer, 3 credits, S/U grading",1,1,1,1
PSY608,Clinical Psychology Internship,Graduate,1.0,NONE,NONE,"Qualified clinical students carry out supervised clinical responsibilities in settings approved by the faculty.
Prerequisite:Clinical psychology doctoral student
Fall and Spring, 1 credit, S/U grading, Repeat for Credit.",1,1,1,1
PSY610,Seminars in Selected Topics,Graduate,0.00 - 3.00,NONE,NONE,"Topics selected on the basis of the needs of the graduate program and research interests of the staff.
Prerequisite: Permission of instructor
Fall, 0-3 credits, ABCF grading, may be repeated for credit",1,1,1,1
PSY620,Seminars in Selected Topics,Graduate,0.00 - 3.00,NONE,NONE,"Topics selected on the basis of the needs of the graduate program and research interests of the staff.
Prerequisite: Permission of instructor
Spring, 0-3 credits, ABCF grading, may be repeated for credit",1,1,1,1
PSY621,Seminar in Teaching Methods,Graduate,0.00 - 3.00,NONE,NONE,"Theory and pragmatics of good college teaching. Topics include lecturing, use of discussion, types of evaluation of students and teachers, factors affecting undergraduate learning, ethics, student-faculty relations, course administration, and audio-visual devices.
Prerequisites: Matriculated psychology graduate student; permission of instructor 0-3 credits, ABCF grading",1,1,1,1
PSY695,Graduate Academic and Professional Skills Practicum,Graduate,1.00 - 6.00,NONE,NONE,"Students enrolled in the M.A. program in Psychology may gain degree-relevant practical experience under the supervision of the program advisor. This experience may include participation in public and private agencies and organizations and experience in teaching support roles. Students are required to submit written progress reports and a final written report on their experience to the faculty sponsor and department.
Offered Fall, Spring, and Summer, 1-6 Credits, S/U grading",1,1,1,1
PSY696,Readings,Graduate,1.00 - 12.00,NONE,NONE,Prerequisite: Permission of instructor,1,1,1,1
PSY698,Research,Graduate,1.00 - 12.00,NONE,NONE,Prerequisite: Permission of instructor,1,1,1,1
PSY699,Dissertation Research on Campus,Graduate,1.00 - 9.00,NONE,NONE,"Dissertation research under direction of advisor.
Prerequisite: Advancement to candidacy (G5). Major portion of research must take place on SBU campus, at Cold Spring Harbor, or at the Brookhaven National Lab.
Fall, Spring and Summer",1,1,1,1
PSY700,Dissertation Research off Campus - Domestic,Graduate,0.00 - 9.00,NONE,NONE,"Prerequisite: Must be advanced to candidacy (G5). Major portion of research will take place off-campus, but in the United States and/or U.S. provinces. Please note, Brookhaven National Labs and the Cold Spring Harbor Lab are considered on-campus.
All international students must enroll in one of the graduate student insurance plans and should be advised by an International Advisor.
Fall, Spring, Summer",1,1,1,1
PSY701,Dissertation Research off Campus - International,Graduate,1.00 - 9.00,NONE,NONE,"Prerequisite: Must be advanced to candidacy (G5). Major portion of research will take place outside of the United States and/or U.S. provinces.
Domestic students have the option of the health plan and may also enroll in MEDEX.
International students who are in their home country are not covered by mandatory health plan and must contact the Insurance Office for the insurance charge to be removed.
International students who are not in their home country are charged for the mandatory health insurance. If they are to be covered by another insurance plan they must file a waiver be second week of classes. The charge will only be removed if other plan is deemed comparable.
All international students must received clearance from an International Advisor.
Fall, Spring, Summer",1,1,1,1
PSY800,Full Time Summer Research,Graduate,0.0,NONE,NONE,"0 credits, S/ grading",1,1,1,1
PSY820,Summer Teaching-CED,Graduate,0.0,NONE,NONE,,1,1,1,1
