CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Description,spring1,fall1,spring2,fall2
GEO543,Stratigraphy,Graduate,3.0,[['GEO563']],NONE,"The history and practice of defining units layered rocks and interpreting their spatial relationships. Topics include the basis for the geologic time scale, lithostratigraphic versus chronostratigraphic units, biostratigraphy, magnetostratigraphy, facies patterns and Walther's law, subsurface stratigraphy, and the application of stratigraphy to geological problems. The laboratory component, GEO 563, must be taken concurrently; a common grade for both courses will be assigned.
Spring
Prerequisite: GEO 546 or undergraduate mineralogy and petrology",1,1,1,1
GEO546,Mineralogy and Petrology,Graduate,3.0,[['GEO566']],NONE,"An introduction to mineralogy and petrology, including crystallography, crystal chemistry, mineral identification, and the processes that govern the formation of igneous and metamorphic rocks. Three hours of lecture per week. The laboratory component, GEO 566, must be taken concurrently; a common grade for both courses will be assigned.
Spring
Prerequisite: Undergraduate physical geology and one year of undergraduate chemistry",1,1,1,1
GEO547,Remote Sensing in Geosciences,Graduate,3.0,NONE,NONE,"Comprehensive study of commonly used image analysis methods in earth, environmental and planetary sciences. Discussion of physical principles that are the basis for remote sensing techniques.  Participants gain practical experience in geologic and environmental problem-solving using satellite imagery.
Spring, 3 credits, Letter graded (A, A-, B+, etc.)",1,1,1,1
GEO549,Structural Geology,Graduate,3.0,[['GEO569']],NONE,"Principles of structural geology, including the recognition and the mechanics crustal structural features. Topics include folding and faulting, stress and strain, and the nature of brittle and ductile lineations and foliations in the crust. Three hours of lecture per week. The laboratory component, GEO 569, must be taken concurrently; a common grade for both courses will be assigned.
Spring
Prerequisite: Undergraduate physical geology",1,1,1,1
GEO550,Global Tectonics,Graduate,3.0,NONE,NONE,"Geological, geochemical, and geophysical evidence related to the concepts of plate tectonics and mantle convection. Kinematics and dynamics of plate motions. Origin of first-order crustal structures of continents and ocean basins. Geochemical and thermal evolution of the Earth.
Spring,",1,1,1,1
GEO551,Physics of the Earth I,Graduate,3.0,NONE,NONE,"Study of the internal structure and properties of the Earth as revealed by field and laboratory investigations. Topics include the rotation and figure of the Earth, gravity anomalies, solid-earth tides, geomagnetism and paleomagnetism, electromagnetic induction, and heat flow and the Earth's present and past thermal states. May be taken independently of GEO 552.
Fall,",1,1,1,1
GEO552,Physics of the Earth II,Graduate,3.0,NONE,NONE,"Study of the Earth's structure and properties based on evidence from seismology and high-pressure geophysics. Topics include fundamental principles of elastic wave theory, body and surface wave propagation in layered media, earthquake source mechanisms, free oscillations of the Earth, and rheological properties of the Earth's interior. May be taken independently of GEO 551.
Fall, alternate years,",1,1,1,1
GEO556,Solid-State Geophysics,Graduate,3.0,NONE,NONE,"Application of lattice dynamics and equations of state of solids to studies in high-pressure, high-temperature geophysics. Reviews experimental data from physical acoustics, static and shock wave compression, and theoretical results from finite strain and atomistic models.
Prerequisites: GEO 551 and 552, or permission of instructor
Spring,",1,1,1,1
GEO562,Early Diagenesis of Marine Sediments,Graduate,3.0,NONE,NONE,"The course treats qualitative and quantitative aspects of the early diagenesis of sediments. Topics include diffusion and adsorption of dissolved species; organic matter decomposition and storage; and diagenesis of clay materials, sulfur compounds, and calcium carbonates. The effects of bioturbation on sediment diagenesis are also discussed. This course is offered as both MAR 562 and GEO 562.
Fall, alternate years,",1,1,1,1
GEO563,Stratigraphy Laboratory,Graduate,1.0,[['GEO543']],NONE,Three hours of laboratory per week that corresponds to the content of GEO 543. Laboratory work emphasizes practical techniques in stratigraphy.,1,1,1,1
GEO566,Mineralogy and Petrology Laboratory,Graduate,1.0,[['GEO546']],NONE,Three hours of laboratory per week that corresponds to the content of GEO 546,1,1,1,1
GEO567,Sedimentary Rocks and Crustal Evolution,Graduate,3.0,NONE,NONE,"An examination of major and trace elements and isotopic composition of terrigenous sedimentary rocks within a framework of tracing the composition and evolution of the continental crust.  Emphasis is placed on interpreting sedimentary compositions in terms of provenance and sedimentary history (e.g., weathering, diagenesis, recycling). Relationships between sediment composition and tectonic setting is also examined.
Spring,",1,1,1,1
GEO569,Structural Geology Laboratory,Graduate,1.0,[['GEO549']],NONE,Three hours of laboratory per week that corresponds to the content of GEO 549,1,1,1,1
GEO570,Earthquake Mechanics,Graduate,3.0,NONE,NONE,"A survey of fundamental mechanics aspects of earthquake rupture; reviews concepts of fracture mechanics, elastodynamics, and experimental rock mechanics. Topics include state of stress in the lithosphere, theoretical models of earthquake instability, energetics of faulting, representation of dynamic elastic field generated by earthquakes, and relation of seismic signals to the kinematics and dynamics of seismic source.
Prerequisite: GEO 552 or permission of instructor
Spring, alternate years,",1,1,1,1
GEO571,Mechanics of Geologic Materials,Graduate,3.0,NONE,NONE,"Elastic, thermal, and anelastic properties of geological materials. The course emphasizes a thermodynamic characterization of these properties including irreversible thermodynamics and nonhydrostatic thermodynamics. Specific applications to the Earth's environment are discussed.
Prerequisites: GEO 551, 552, or permission of instructor
Fall, alternate years,",1,1,1,1
GEO572,Advanced Seismology,Graduate,3.0,NONE,NONE,"Course is intended to expose the student to topics that are at the forefront of current seismological research. Examples include wave propagation in heterogeneous media, earthquake source studies, tsunami generation, and seismic network data analysis.
Prerequisite: GEO 552
Fall, alternate years,",1,1,1,1
GEO573,Physics of Rocks,Graduate,3.0,NONE,NONE,"Fundamentals of the physical properties of rock in relation to seismology, hydrogeology, geophysical prospecting and geotechnical engineering. Topics include: composition, pore structure and fabric of rocks; elasticity, anelasticity and plasticity; seismic velocity and anisotropy; poroelasticity; electrical, magnetic and hydraulic transpost properties.
Fall, alternate years,",1,1,1,1
GEO581,Coastal Engineering Geology,Graduate,3.0,NONE,NONE,"Concepts of the mechanics of earth materials and the physics of surficial processes with applications to the coastal environment and engineering. This course is also offered as mar 581.
Prerequisites: Enrollment in MESP or OEN program or instructor
Fall,",1,1,1,1
GEO585,Directed Studies,Graduate,1.00 - 3.00,NONE,NONE,"Special studies directed by various faculty members.
Fall, Spring, Summer,",1,1,1,1
GEO587,Hydrogeology Capstone Project,Graduate,0.0,NONE,NONE,"Students will complete an in-depth capstone report based on analysis of original, independent research conducted by the student on a faculty supervisor-approved topic in hydrogeology.",1,1,1,1
GEO588,Geological Field Methods for Earth Science Teachers,Graduate,3.0,NONE,NONE,"Geologic mapping techniques, geochemical analytical approach, and hydrological methodologies applied in the field to examples on Long Island.  These approaches are designed for developing research projects for secondary students in earth science.
Prerequisite: Permission of instructor
Summer,",1,1,1,1
GEO589,Research for Earth Science Teachers,Graduate,1.00 - 3.00,NONE,NONE,"This course is intended to provide earth science teachers or students in the M.A.T. in Earth Science program an opportunity to obtain research experience.  A written report is required.
Prerequisite: Permission of instructor
Summer,",1,1,1,1
GEO590,Research Project,Graduate,1.00 - 12.00,NONE,NONE,"Independent research
Fall,Spring,Summer,",1,1,1,1
GEO599,Research,Graduate,1.00 - 12.00,NONE,NONE,Independent research for those students established in a research group.,1,1,1,1
GEO600,Practicum in Teaching,Graduate,0.00 - 3.00,NONE,NONE,"Fall and Spring,",1,1,1,1
GEO603,Topics in Petrology,Graduate,1.00 - 3.00,NONE,NONE,"Fall and Spring,",1,1,1,1
GEO604,Topics in Planetary Science,Graduate,1.00 - 3.00,NONE,NONE,,1,1,1,1
GEO605,Topics in Sedimentary Geology,Graduate,1.00 - 3.00,NONE,NONE,"Fall and Spring,",1,1,1,1
GEO606,Topics in Geochronology,Graduate,1.00 - 3.00,NONE,NONE,Topics in Geochronology,1,1,1,1
GEO607,Topics in Geophysics,Graduate,1.00 - 3.00,NONE,NONE,"Fall and Spring,",1,1,1,1
GEO608,Topics Geochemistry,Graduate,1.00 - 3.00,NONE,NONE,Topics in Geochemistry,1,1,1,1
GEO609,Topics in Mineralogy and Crystallography,Graduate,1.00 - 3.00,NONE,NONE,"Fall and Spring,",1,1,1,1
GEO696,Geoscience Colloquium,Graduate,0.0,NONE,NONE,"A weekly series of research seminars presented by visiting scientists as well as by the faculty. Required every semester of all geoscience graduate students.
Fall and Spring,",1,1,1,1
GEO697,Geoscience Seminar,Graduate,0.0,NONE,NONE,"Presentation of preliminary research results and current research problems by students and faculty. Required every semester of all geoscience graduate students.
Fall and Spring,",1,1,1,1
GEO698,Geoscience Special Seminar,Graduate,0.0,NONE,NONE,"A weekly series of specialized seminars in which graduate students and faculty discuss specific topics within the subgroups of geology. Research is reviewed, and theses are discussed.
Fall and Spring,",1,1,1,1
GEO699,Dissertation Research on Campus,Graduate,1.00 - 9.00,NONE,NONE,"Independent research for Ph.D. degree. Open only to candidates for the Ph.D. who have passed the preliminary examination.
Prerequisite: Advancement to candidacy (G5). Major portion of research must take place on SBU campus, at Cold Spring Harbor, or at the Brookhaven National Lab.
Fall, Spring, and Summer,",1,1,1,1
GEO700,Dissertation Research off Campus - Domestic,Graduate,1.00 - 9.00,NONE,NONE,"Prerequisite: Must be advanced to candidacy (G5). Major portion of research will take place off-campus, but in the United States and/or U.S. provinces. Please note, Brookhaven National Labs and the Cold Spring Harbor Lab are considered on-campus.
All international students must enroll in one of the graduate student insurance plans and should be advised by an International Advisor.
Fall, Spring, Summer",1,1,1,1
GEO701,Dissertation Research off Campus - International,Graduate,1.00 - 9.00,NONE,NONE,"Prerequisite: Must be advanced to candidacy (G5). Major portion of research will take place outside of the United States and/or U.S. provinces.
Domestic students have the option of the health plan and may also enroll in MEDEX.
International students who are in their home country are not covered by mandatory health plan and must contact the Insurance Office for the insurance charge to be removed.
International students who are not in their home country are charged for the mandatory health insurance. If they are to be covered by another insurance plan they must file a waiver be second week of classes. The charge will only be removed if other plan is deemed comparable.
All international students must received clearance from an International Advisor.
Fall, Spring, Summer",1,1,1,1
GEO800,SUMMER RESEARCH,Graduate,0.0,NONE,NONE,,1,1,1,1
